,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
87,2012-08-09,002594.XSHE,002594,E,XSHE,比亚迪,CNY,13.53,1353.0,100.0,招商证券股份有限公司深圳笋岗路证券营业部,海通证券股份有限公司盐城建军中路证券营业部
88,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,1166.7,30.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
89,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,583.35,15.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
90,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,1166.7,30.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
91,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,388.9,10.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
92,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,1555.6,40.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
93,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,972.25,25.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
94,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,11083.65,285.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
95,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,1555.6,40.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
96,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,972.25,25.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
97,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,1944.5,50.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
98,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,1166.7,30.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
99,2013-09-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,38.89,777.8,20.0,机构专用,中信建投证券股份有限公司南通工农北路证券营业部
100,2013-10-17,002594.XSHE,002594,E,XSHE,比亚迪,CNY,37.85,346.1,9.14,机构专用,机构专用
101,2013-11-20,002594.XSHE,002594,E,XSHE,比亚迪,CNY,32.49,2144.34,66.0,招商证券股份有限公司深圳笋岗路证券营业部,宏源证券股份有限公司盐城大庆中路证券营业部
102,2013-11-28,002594.XSHE,002594,E,XSHE,比亚迪,CNY,34.3,2058.0,60.0,宏源证券股份有限公司深圳福华一路证券营业部,海通证券股份有限公司扬州汶河南路证券营业部
